date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2021-01-14,8.591147100962456,8.703694774118585,8.51611531885837,8.572389602661133,4617,213.709372172176,200,,,,0.0,1832.0
2021-01-15,8.459842301656964,8.647421765168877,8.441083908081055,8.441083908081055,5999,213.709372172176,200,-0.015317280322783788,-0.015317280322783788,-28.059999999999945,1832.0,1803.94
2021-01-18,8.441083160715143,8.628662607618942,8.178471935049826,8.553630828857422,5340,213.709372172176,200,0.013333230898062931,-0.0021882782599949024,24.049999999999955,1803.94,1827.99
2021-01-19,8.6474208290111,8.6474208290111,8.291019439697266,8.291019439697266,2398,213.709372172176,200,-0.030701744605832526,-0.03282283890556259,-56.12000000000012,1827.99,1771.87
2021-01-20,8.403567427176279,8.816242218017578,8.366051537099796,8.816242218017578,21573,213.709372172176,200,0.06334839547059246,0.028446282385572674,112.24000000000001,1771.87,1884.11
2021-01-21,8.816242519853766,8.816242519853766,8.628663063049316,8.628663063049316,1799,213.709372172176,200,-0.021276542809237964,0.0065645010313943875,-40.07999999999993,1884.11,1844.03
2021-01-22,8.62866286003327,8.62866286003327,8.403567517163996,8.516115188598633,6692,213.709372172176,200,-0.013043489313269152,-0.006564612280924753,-24.059999999999945,1844.03,1819.97
2021-01-25,8.534873008728027,8.647420672615405,8.534873008728027,8.534873008728027,4401,213.709372172176,200,0.002202626398772445,-0.004376445270459994,4.009999999999991,1819.97,1823.98
2021-01-26,8.572388542712769,8.684936201952741,8.27226055695689,8.366050720214844,13705,213.709372172176,200,-0.019780292962829127,-0.024070170863703666,-36.07999999999993,1823.98,1787.9
2021-01-27,8.40356801537867,8.497358194359347,8.272261943695614,8.441083908081055,4529,213.709372172176,200,0.008968770376314827,-0.01531728032278401,16.039999999999964,1787.9,1803.94
2021-01-28,8.328535853980243,8.609905483770335,8.328535853980243,8.422325134277344,6528,213.709372172176,200,-0.00222231812975493,-0.017505558582779024,-4.009999999999991,1803.94,1799.93
2021-01-29,8.309777836397997,8.572389979764113,8.291020337271522,8.441083908081055,5461,213.709372172176,200,0.002227267827427548,-0.01531728032278401,4.009999999999991,1799.93,1803.94
2021-02-01,8.45984123280311,8.609904784652946,8.441082841597218,8.534873008728027,3437,213.709372172176,200,0.011111025748385739,-0.004376445270459994,20.039999999999964,1803.94,1823.98
2021-02-02,8.516115637875718,8.64742170870135,8.478599745418313,8.591147422790527,10401,213.709372172176,200,0.0065934682337922546,0.002188167010464648,12.029999999999973,1823.98,1836.01
2021-02-03,8.666178169371973,8.666178169371973,8.478598729559677,8.534873008728027,12444,213.709372172176,200,-0.006550279176122165,-0.004376445270459994,-12.029999999999973,1836.01,1823.98
2021-02-04,8.628662281409515,8.647420672615405,8.45984123280311,8.534873008728027,5647,213.709372172176,200,0.0,-0.004376445270459994,0.0,1823.98,1823.98
2021-02-05,8.647421179007376,8.797484739644917,8.441083335906068,8.45984172821045,20692,213.709372172176,200,-0.008791141993659268,-0.01312911331231914,-16.029999999999973,1823.98,1807.95
2021-02-08,8.441083203719842,8.553630872435516,8.366051424576058,8.40356731414795,41744,213.709372172176,200,-0.006651946439475975,-0.019693725593243783,-12.029999999999973,1807.95,1795.92
