date,close,high,low,open,volume,shares_owned,daily_return,cumulative_return,MSMIF_position
2023-05-02,19.809999465942383,19.809999465942383,19.440000534057617,19.440000534057617,50,100,,,1981.0
2023-05-03,19.75,19.829999923706055,19.639999389648438,19.639999389648438,300,100,-0.003028746469455168,-0.003028746469455168,1975.0
2023-05-04,19.239999771118164,20.260000228881836,18.670000076293945,20.260000228881836,652,100,-0.02582279639908025,-0.028773332165110244,1924.0
2023-05-05,19.030000686645508,19.31999969482422,18.809999465942383,19.31999969482422,921,100,-0.010914713460022707,-0.039373992949260694,1903.0
2023-05-08,19.280000686645508,19.280000686645508,18.969999313354492,18.969999313354492,250,100,0.013137151391457325,-0.026754103664063944,1928.0
2023-05-09,19.09000015258789,19.43000030517578,19.09000015258789,19.219999313354492,200,100,-0.009854799133343528,-0.036345246479805526,1909.0
2023-05-10,18.760000228881836,18.760000228881836,18.760000228881836,18.760000228881836,0,100,-0.01728653331945207,-0.053003496484980706,1876.0
2023-05-11,18.940000534057617,18.940000534057617,18.940000534057617,18.940000534057617,0,100,0.009594898879514036,-0.0439171607945007,1894.0
2023-05-12,18.43000030517578,18.469999313354492,18.43000030517578,18.469999313354492,500,100,-0.026927149656873595,-0.06966174649015577,1843.0
2023-05-15,18.549999237060547,18.549999237060547,18.549999237060547,18.549999237060547,0,100,0.0065110651056834445,-0.06360425355124533,1855.0
2023-05-16,18.540000915527344,18.540000915527344,18.540000915527344,18.540000915527344,0,100,-0.0005389930967343304,-0.06410896439439262,1854.0
2023-05-17,18.780000686645508,18.780000686645508,18.6200008392334,18.6200008392334,1050,100,0.012944970834233516,-0.051993882234457445,1878.0
2023-05-18,19.219999313354492,19.229999542236328,18.65999984741211,18.65999984741211,479,100,0.023429105996884747,-0.029782946415633393,1922.0
2023-05-19,19.40999984741211,19.68000030517578,19.350000381469727,19.350000381469727,400,100,0.009885564039828099,-0.02019180359989181,1941.0
2023-05-22,19.06999969482422,19.270000457763672,19.06999969482422,19.270000457763672,54,100,-0.01751675194542679,-0.037354860730328565,1907.0
2023-05-23,19.299999237060547,19.299999237060547,19.09000015258789,19.09000015258789,250,100,0.012060804715101847,-0.025744585695655076,1930.0
2023-05-24,19.059999465942383,19.059999465942383,19.059999465942383,19.059999465942383,0,100,-0.01243522179303036,-0.03785966785559025,1906.0
2023-05-25,19.350000381469727,19.350000381469727,18.799999237060547,18.829999923706055,1500,100,0.01521515863867351,-0.02322055006934709,1935.0
2023-05-26,19.280000686645508,19.280000686645508,19.06999969482422,19.06999969482422,244,100,-0.0036175552167561076,-0.026754103664063833,1928.0
2023-05-29,19.59000015258789,19.68000030517578,19.579999923706055,19.579999923706055,54,100,0.01607880990155297,-0.011105467909411804,1959.0
2023-05-30,19.540000915527344,19.540000915527344,19.190000534057617,19.190000534057617,740,100,-0.002552283648346032,-0.013629407253605397,1954.0
2023-05-31,18.860000610351562,18.979999542236328,18.540000915527344,18.979999542236328,301,100,-0.0348004234040451,-0.047955521514478905,1886.0
2023-06-01,18.979999542236328,18.979999542236328,18.829999923706055,18.829999923706055,300,100,0.0063626154825733305,-0.04189802857556846,1898.0
2023-06-02,19.299999237060547,19.549999237060547,18.889999389648438,18.889999389648438,284,100,0.01685983680411174,-0.025744585695654854,1930.0
2023-06-05,19.3700008392334,19.3700008392334,19.25,19.25,545,100,0.0036270261626969447,-0.02221093581882383,1937.0
2023-06-06,19.350000381469727,19.43000030517578,19.309999465942383,19.309999465942383,600,100,-0.0010325481103315992,-0.02322055006934698,1935.0
2023-06-07,19.040000915527344,19.209999084472656,19.040000915527344,19.209999084472656,65,100,-0.016020643918914335,-0.03886918582399901,1904.0
