date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2024-10-16,34.00775677527922,34.48272545544715,33.722776291923154,34.102752685546875,3498,32.01430581307718,30,-0.011019266680236783,0.09451223412815657,-12.160000000000082,1103.94,1091.78
2024-10-17,33.81777033603483,34.102754457925464,33.34280163118196,33.43779754638672,1978,32.01430581307718,30,-0.019498576707034365,0.0731708033742211,-21.289999999999964,1091.78,1070.49
2024-10-18,33.81776882399725,34.672713903996126,33.34280014038086,33.34280014038086,4501,32.01430581307718,30,-0.0028410186368905688,0.07012190512126804,-3.0399999999999636,1070.49,1067.45
2024-10-21,34.00775779231473,34.29273828419342,33.34280089544875,33.91276550292969,7138,32.01430581307718,30,0.017094106078348048,0.08841468248417494,18.24000000000001,1067.45,1085.69
2024-10-22,34.38773374526589,35.147682921527185,34.19774554526969,34.67271423339844,3163,32.01430581307718,30,0.022408928295838848,0.112804889060101,24.329999999999927,1085.69,1110.02
2024-10-23,34.76770593880322,34.76770593880322,34.00775677527922,34.102752685546875,2503,32.01430581307718,30,-0.016438330844677496,0.09451223412815635,-18.24000000000001,1110.02,1091.78
2024-10-24,34.57772372353926,34.95769651934954,33.912766801216634,34.00775909423828,3334,32.01430581307718,30,-0.002785510958147719,0.09146345830616553,-3.0499999999999545,1091.78,1088.73
2024-10-25,34.00775936312221,34.4827280794332,33.627786564307655,34.29273986816406,0,32.01430581307718,30,0.00837987510838567,0.10060978577213797,9.129999999999882,1088.73,1097.86
2024-10-28,33.81776930618054,33.81776930618054,33.05782012630344,33.627784729003906,8513,32.01430581307718,30,-0.019390551519549826,0.07926835501820273,-21.289999999999964,1097.86,1076.57
2024-10-29,33.34280238811786,34.007759314752214,32.77284137884483,32.96282958984375,4812,32.01430581307718,30,-0.01977397989545926,0.05792692426426749,-21.289999999999964,1076.57,1055.28
2024-10-30,32.77284036224976,33.15281677246094,32.48785986645318,33.15281677246094,3167,32.01430581307718,30,0.005763679422585932,0.06402447590824911,6.079999999999927,1055.28,1061.36
2024-10-31,32.297871224423645,32.297871224423645,31.15794563293457,31.15794563293457,9542,32.01430581307718,30,-0.060171995436099635,-3.3306690738754696e-16,-63.8599999999999,1061.36,997.5
2024-11-01,31.15794563293457,31.15794563293457,31.15794563293457,31.15794563293457,0,32.01430581307718,30,0.0,-3.3306690738754696e-16,0.0,997.5,997.5
2024-11-04,31.632914194524464,32.39286337775019,31.252941414773378,31.537921905517578,7714,32.01430581307718,30,0.012195164503444156,0.012195164503443712,12.159999999999968,997.5,1009.66
2024-11-05,31.25294069630516,32.4878585436231,31.157944785758573,32.01288986206055,8122,32.01430581307718,30,0.015060217282733213,0.02743904361339755,15.209999999999923,1009.66,1024.87
2024-11-06,32.48786034665969,33.0578213466775,31.34793472290039,31.34793472290039,7326,32.01430581307718,30,-0.020771481176031337,0.006097612859462309,-21.28999999999985,1024.87,1003.58
2024-11-07,31.63291621770913,32.582853663428466,31.63291621770913,32.202880859375,4591,32.01430581307718,30,0.027272805817413204,0.03353671768834143,27.370000000000005,1003.58,1030.95
2024-11-08,32.58285128425567,32.58285128425567,31.2529411315918,31.252941131591797,5786,32.01430581307718,30,-0.02949859461119153,0.003048837037471497,-30.410000000000082,1030.95,1000.54
2024-11-11,31.2529411315918,32.012890307931656,31.2529411315918,31.252941131591797,5751,32.01430581307718,30,0.0,0.003048837037471497,0.0,1000.54,1000.54
2024-11-12,30.967957278573994,31.6329141723262,30.49298858642578,30.49298858642578,6797,32.01430581307718,30,-0.024316192897372524,-0.021341491969416815,-24.329999999999927,1000.54,976.21
2024-11-13,30.492989707886704,30.68297791647802,29.828034601540775,30.303003311157227,9873,32.01430581307718,30,-0.006230457691284719,-0.0274389823979172,-6.080000000000041,976.21,970.13
2024-11-14,30.20800920686157,30.777973832635517,30.11301691442775,30.303003311157227,5936,32.01430581307718,30,0.0,-0.0274389823979172,0.0,970.13,970.13
2024-11-15,30.303003311157227,30.303003311157227,30.303003311157227,30.303003311157227,0,32.01430581307718,30,0.0,-0.0274389823979172,0.0,970.13,970.13
2024-11-18,30.303003311157227,30.303003311157227,30.303003311157227,30.303003311157227,0,32.01430581307718,30,0.0,-0.0274389823979172,0.0,970.13,970.13
2024-11-19,30.39799744766317,31.347934867902644,30.303003343266855,30.967958450317383,9130,32.01430581307718,30,0.02194353913809355,-0.006097551643981847,21.289999999999964,970.13,991.42
2024-11-20,30.96795803399355,31.44292673772795,30.492989330259146,31.06295394897461,5483,32.01430581307718,30,0.0030675415303733633,-0.003048714606510017,3.0400000000000773,991.42,994.46
2024-11-21,31.347932983128285,32.107882148883675,31.25294069630516,32.01288986206055,6579,32.01430581307718,30,0.030580990933648522,0.02743904361339755,30.409999999999854,994.46,1024.87
2024-11-22,32.582852434014924,32.67784834923675,31.727910939360374,32.39286422729492,10280,32.01430581307718,30,0.01186941781487505,0.03963414690136058,12.170000000000073,1024.87,1037.04
2024-11-25,32.39286422729492,32.39286422729492,32.39286422729492,32.39286422729492,0,32.01430581307718,30,0.0,0.03963414690136058,0.0,1037.04,1037.04
2024-11-26,32.0128894368675,32.86783087809074,31.917893527582645,32.7728385925293,4339,32.01430581307718,30,0.011730187320521113,0.051829250189323606,12.160000000000082,1037.04,1049.2
2024-11-27,32.67784984873885,33.057822655891194,32.20288112200558,32.48786163330078,4544,32.01430581307718,30,-0.00869552261772888,0.042683045154313426,-9.120000000000118,1049.2,1040.08
2024-11-28,32.48786163330078,32.48786163330078,32.48786163330078,32.48786163330078,0,32.01430581307718,30,0.0,0.042683045154313426,0.0,1040.08,1040.08
2024-11-29,32.29787241842075,32.39286471133839,31.442927287267192,31.632915496826172,3826,32.01430581307718,30,-0.026315863633150638,0.015243940325434302,-27.36999999999989,1040.08,1012.71
2024-12-02,31.82290281533891,32.01289101957819,31.44292640686035,31.44292640686035,7331,32.01430581307718,30,-0.006006056886690758,0.00914632746597177,-6.090000000000032,1012.71,1006.62
2024-12-03,31.537921619753806,31.727909819769646,31.157945219722123,31.252941131591797,7803,32.01430581307718,30,-0.006042226248607174,0.0030488370374712748,-6.080000000000041,1006.62,1000.54
2024-12-04,31.347934581371256,32.20287970126175,30.967958167259116,31.7279109954834,7293,32.01430581307718,30,0.01519760530350478,0.018292777362906243,15.210000000000036,1000.54,1015.75
2024-12-05,31.347934867902644,31.63291536922975,30.967958450317383,30.967958450317383,1528,32.01430581307718,30,-0.023952177162694377,-0.00609755164398218,-24.33000000000004,1015.75,991.42
2024-12-06,30.492989707886704,31.15794662609447,30.20800920686157,30.303003311157227,8565,32.01430581307718,30,-0.021472359575364308,-0.027438982397917533,-21.289999999999964,991.42,970.13
2024-12-09,30.682976500192527,31.44292567575587,29.82803322471833,30.2080078125,14973,32.01430581307718,30,-0.0031348542480028607,-0.030487819435389363,-3.0399999999999636,970.13,967.09
2024-12-10,30.2080078125,30.2080078125,30.2080078125,30.2080078125,0,32.01430581307718,30,0.0,-0.030487819435389363,0.0,967.09,967.09
2024-12-11,30.87296649688895,30.967958790466813,30.30300367611247,30.58798599243164,4021,32.01430581307718,30,0.012578723571913475,-0.01829259371646408,12.159999999999968,967.09,979.25
2024-12-12,30.587984825760785,30.682977115715502,30.11301612854004,30.11301612854004,6342,32.01430581307718,30,-0.015527987491857798,-0.033536534041898935,-15.200000000000045,979.25,964.05
2024-12-13,30.11301612854004,30.7779730293938,29.923027924907025,30.11301612854004,8658,32.01430581307718,30,0.0,-0.033536534041898935,0.0,964.05,964.05
2024-12-16,31.157945219722123,31.347933419737963,30.303001943374348,31.252941131591797,7690,32.01430581307718,30,0.03785489298667022,0.0030488370374712748,36.49000000000001,964.05,1000.54
2024-12-17,31.347934589396253,31.347934589396253,30.6829776763916,30.6829776763916,10520,32.01430581307718,30,-0.018237114158323187,-0.015243879109954395,-18.25,1000.54,982.29
2024-12-18,31.15794563293457,31.44292612487595,30.682976938457752,31.15794563293457,5771,32.01430581307718,30,0.015479852104068215,-5.551115123125783e-16,15.210000000000036,982.29,997.5
2024-12-19,31.537922369453725,31.537922369453725,30.77797317504883,30.777973175048828,3432,32.01430581307718,30,-0.012195042072481899,-0.012195042072482454,-12.159999999999968,997.5,985.34
2024-12-20,30.20800920686157,30.68297791647802,29.923028705836433,30.303003311157227,7032,32.01430581307718,30,-0.015432135871658148,-0.027438982397917422,-15.210000000000036,985.34,970.13
2024-12-23,30.397997381797268,30.397997381797268,29.448059963616103,29.63804817199707,5209,32.01430581307718,30,-0.02194353913809355,-0.048780413151852775,-21.289999999999964,970.13,948.84
