date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2022-01-26,25.48341383772208,26.045546521146946,25.48341383772208,25.858169555664062,485,56.98005795917838,53,,,,0.0,1473.4
2022-01-27,26.045546521146946,26.23292527360605,25.858169555664062,25.858169555664062,466,56.98005795917838,53,0.0,0.0,0.0,1473.4,1473.4
2022-01-28,26.232922402606178,26.232922402606178,26.045543670654297,26.045543670654297,544,56.98005795917838,53,0.007246225011669161,0.007246225011669161,10.679999999999836,1473.4,1484.08
2022-01-31,26.23292555248805,26.795060028865187,26.23292555248805,26.607681274414062,2712,56.98005795917838,53,0.021582870792331788,0.02898549014216001,32.02999999999997,1484.08,1516.11
2022-02-01,26.795060987407375,26.795060987407375,26.420305252075195,26.420305252075195,862,56.98005795917838,53,-0.00704217779844829,0.0217391913685554,-10.679999999999836,1516.11,1505.43
2022-02-02,26.795059351030748,27.54457077592238,26.795059351030748,27.169815063476562,3172,56.98005795917838,53,0.02836870370157807,0.05072460774877996,42.710000000000036,1505.43,1548.14
2022-02-03,26.98243522644043,27.169813968600536,26.98243522644043,26.98243522644043,470,56.98005795917838,53,-0.006896618051994818,0.04347816145130445,-10.680000000000064,1548.14,1537.46
2022-02-04,27.357194101129338,28.856216966690223,27.357194101129338,27.919326782226562,4876,56.98005795917838,53,0.03472227572951092,0.07971009789093975,53.37999999999988,1537.46,1590.84
2022-02-07,28.106704395589322,28.481460096801953,27.357192993164062,27.357192993164062,1743,56.98005795917838,53,-0.02013421718393127,0.057970980284319795,-32.02999999999997,1590.84,1558.81
2022-02-08,27.357193959117236,27.544570922851562,26.60768074325133,27.544570922851562,2092,56.98005795917838,53,0.006849311248208867,0.06521735281985985,10.680000000000064,1558.81,1569.49
2022-02-09,27.357192993164062,27.357192993164062,27.357192993164062,27.357192993164062,216,56.98005795917838,53,-0.006802717319950968,0.057970980284319795,-10.680000000000064,1569.49,1558.81
2022-02-10,27.169815063476562,27.54457077592238,27.169815063476562,27.169815063476562,1100,56.98005795917838,53,-0.006849311248208867,0.05072460774877974,-10.669999999999845,1558.81,1548.14
2022-02-11,27.357193813187568,27.357193813187568,27.169815063476562,27.169815063476562,1031,56.98005795917838,53,0.0,0.05072460774877974,0.0,1548.14,1548.14
2022-02-14,26.60767807953392,26.98243375646166,25.670787993726556,26.045543670654297,2501,56.98005795917838,53,-0.041379427507903244,0.007246225011668939,-64.06000000000017,1548.14,1484.08
2022-02-15,26.232924745027173,26.982436165808902,26.232924745027173,26.795059204101562,1248,56.98005795917838,53,0.028777112235585545,0.03623186267769962,42.700000000000045,1484.08,1526.78
2022-02-16,26.420304306939176,26.98243699634007,26.420304306939176,26.607681274414062,705,56.98005795917838,53,-0.006993003010749788,0.028985490142159565,-10.670000000000073,1526.78,1516.11
2022-02-17,26.607681274414062,26.607681274414062,26.420304306939176,26.607681274414062,305,56.98005795917838,53,0.0,0.028985490142159565,0.0,1516.11,1516.11
