date,open,high,low,close,volume,shares_owned,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2022-12-01,18.161195755004883,18.161195755004883,18.161195755004883,18.161195755004883,0,20,,,,0.0,363.22
2022-12-02,18.02430248835795,18.06993293762207,18.02430248835795,18.06993293762207,150,20,-0.0050251546546796755,-0.0050251546546796755,-1.82000000000005,363.22,361.4
2022-12-05,17.56799230126577,17.56799230126577,17.020418167114258,17.020418167114258,347,20,-0.05808072305142287,-0.06281401309031354,-20.989999999999952,361.4,340.41
2022-12-06,16.518474578857422,16.518474578857422,16.518474578857422,16.518474578857422,0,20,-0.0294906731038288,-0.0904522586677563,-10.04000000000002,340.41,330.37
2022-12-07,15.651482582092285,15.651482582092285,15.651482582092285,15.651482582092285,0,20,-0.052486202199011234,-0.13819096532897446,-17.340000000000032,330.37,313.03
2022-12-08,15.697114944458008,15.697114944458008,15.697114944458008,15.697114944458008,0,20,0.0029155297031051575,-0.13567833548998665,0.910000000000025,313.03,313.94
2022-12-09,15.468958854675293,15.468958854675293,15.468958854675293,15.468958854675293,0,20,-0.014534905974124102,-0.14824116961503808,-4.560000000000002,313.94,309.38
2022-12-12,15.697114944458008,15.697114944458008,15.697114944458008,15.697114944458008,400,20,0.014749285451344907,-0.13567833548998665,4.560000000000002,309.38,313.94
2022-12-13,15.149540136227582,15.286433219909668,15.149540136227582,15.286433219909668,500,20,-0.0261628793572245,-0.15829147892439754,-8.20999999999998,313.94,305.73
2022-12-14,15.19517213240527,15.19517213240527,15.012648582458496,15.012648582458496,70,20,-0.017910302129510725,-0.17336673284184523,-5.480000000000018,305.73,300.25
2022-12-15,14.830122947692871,14.830122947692871,14.830122947692871,14.830122947692871,0,20,-0.012158123449242497,-0.1834170421512047,-3.6499999999999773,300.25,296.6
2022-12-16,14.875752449035645,14.875752449035645,14.875752449035645,14.875752449035645,0,20,0.003076812073892654,-0.18090456984716052,0.9199999999999591,296.6,297.52
2022-12-19,14.92138558709701,14.92138558709701,14.784492492675781,14.784492492675781,200,20,-0.0061348127882956405,-0.18592956696689666,-1.829999999999984,297.52,295.69
2022-12-20,14.236918539220715,14.328180313110352,14.236918539220715,14.328180313110352,1,20,-0.03086424371966001,-0.21105523521699954,-9.129999999999995,295.69,286.56
2022-12-21,14.373810768127441,14.373810768127441,14.373810768127441,14.373810768127441,0,20,0.0031846650460796155,-0.20854271040130756,0.9200000000000159,286.56,287.48
2022-12-22,14.419442176818848,14.419442176818848,14.419442176818848,14.419442176818848,0,20,0.003174621499302699,-0.20603013307396767,0.9099999999999682,287.48,288.39
2022-12-23,14.419442176818848,14.419442176818848,14.419442176818848,14.419442176818848,0,20,0.0,-0.20603013307396767,0.0,288.39,288.39
2022-12-27,14.145655632019043,14.145655632019043,14.145655632019043,14.145655632019043,0,20,-0.018987318749400184,-0.22110549201471108,-5.479999999999961,288.39,282.91
2022-12-28,14.282547950744629,14.282547950744629,14.282547950744629,14.282547950744629,0,20,0.009677339975372234,-0.21356786505598713,2.7399999999999523,282.91,285.65
2022-12-29,14.100024223327637,14.100024223327637,14.100024223327637,14.100024223327637,0,20,-0.012779493410171039,-0.22361806934205086,-3.6499999999999773,285.65,282.0
