date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2022-01-20,318.0812189662041,322.0772141793474,315.6836218383182,321.27801513671875,3858,5.817391517451493,21,,,,0.0,1869.0
2022-01-21,318.0812189662041,326.0732093924907,314.88442279568955,321.27801513671875,16142,5.817391517451493,21,0.0,0.0,0.0,1869.0,1869.0
2022-01-24,313.2860129616477,318.0812070375913,304.4948238224178,307.6916198730469,11677,5.817391517451493,21,-0.04228859312981692,-0.04228859312981692,-79.03999999999996,1869.0,1789.96
2022-01-25,303.6956385358979,318.08122141391414,299.6996432920045,315.6836242675781,7095,5.817391517451493,21,0.025974072344995047,-0.01741292776214376,46.5,1789.96,1836.46
2022-01-26,318.08121667727073,319.67961475102584,313.28602245600536,316.4828186035156,1944,5.817391517451493,21,0.0025316306406191202,-0.01492538022299017,4.639999999999873,1836.46,1841.1
2022-01-27,318.08122617460145,318.08122617460145,307.6916383849788,314.8844299316406,1638,5.817391517451493,21,-0.005050475343109984,-0.01990047530129735,-9.289999999999964,1841.1,1831.81
2022-01-28,315.6835957163388,315.6835957163388,307.6916059513682,310.0892028808594,2720,5.817391517451493,21,-0.015228530200182555,-0.03482595051235615,-27.899999999999864,1831.81,1803.91
2022-01-31,310.089228691356,313.28602486343186,307.69163156229916,310.888427734375,3191,5.817391517451493,21,0.0025774030378693524,-0.03233830798513404,4.649999999999864,1803.91,1808.56
2022-02-01,309.2900411591275,318.88043003227875,309.2900411591275,314.0852355957031,2330,5.817391517451493,21,0.01028281394912356,-0.02238802284045105,18.600000000000136,1808.56,1827.16
2022-02-02,311.6876424153646,323.6756286621094,311.6876424153646,323.6756286621094,8531,5.817391517451493,21,0.030534364495729438,0.0074627376055294015,55.789999999999964,1827.16,1882.95
2022-02-03,323.675602827922,323.675602827922,320.4788067506091,322.87640380859375,1019,5.817391517451493,21,-0.002469215420447868,0.004975095078307179,-4.650000000000091,1882.95,1878.3
2022-02-04,322.87641796387936,323.67561701824536,315.683626474585,320.47882080078125,6106,5.817391517451493,21,-0.007425699058621338,-0.0024875475391537005,-13.950000000000045,1878.3,1864.35
2022-02-07,320.4788185602502,320.4788185602502,311.68762902368474,315.6836242675781,2046,5.817391517451493,21,-0.014962600402801507,-0.01741292776214387,-27.889999999999873,1864.35,1836.46
2022-02-08,318.08121203911014,327.6716003417969,312.48681886254286,327.6716003417969,5334,5.817391517451493,21,0.03797465295208835,0.019900475301297238,69.73000000000002,1836.46,1906.19
2022-02-09,323.67562599552485,334.06521399044294,321.2780287659284,329.27001953125,11196,5.817391517451493,21,0.004878113293266262,0.02487566536767316,9.299999999999955,1906.19,1915.49
2022-02-10,328.4708063700113,334.0651996658509,318.08121882059487,331.6676025390625,4364,5.817391517451493,21,0.007281510206200048,0.03233830798513404,13.950000000000045,1915.49,1929.44
2022-02-11,331.66760725675573,333.2660053640172,325.27401482770983,330.868408203125,1573,5.817391517451493,21,-0.002409624364331342,0.029850760445980562,-4.650000000000091,1929.44,1924.79
2022-02-14,323.67560993541366,323.67560993541366,311.6876243822502,316.4828186035156,5047,5.817391517451493,21,-0.04347828092060646,-0.014925380222989948,-83.69000000000005,1924.79,1841.1
2022-02-15,313.2860178142711,327.6716002649264,313.2860178142711,317.2820129394531,1547,5.817391517451493,21,0.002525237671554992,-0.012437832683836358,4.650000000000091,1841.1,1845.75
2022-02-16,322.07720234166436,322.8764013549191,314.8844112223716,318.0812072753906,652,5.817391517451493,21,0.0025188769086952334,-0.009950285144682658,4.650000000000091,1845.75,1850.4
2022-02-17,318.0812143179087,318.0812143179087,310.888423039363,311.6876220703125,1633,5.817391517451493,21,-0.020100480816971467,-0.029850760445980007,-37.190000000000055,1850.4,1813.21
2022-02-18,311.6876220703125,317.28201528695917,310.888423039363,311.6876220703125,3783,5.817391517451493,21,0.0,-0.029850760445980007,0.0,1813.21,1813.21
2022-02-21,311.6876149363332,311.6876149363332,297.3020327085024,307.6916198730469,7899,5.817391517451493,21,-0.012820535415308143,-0.04228859312981659,-23.25,1813.21,1789.96
2022-02-22,296.50284048227167,306.0932288536659,280.51885986328125,301.29803466796875,6799,5.817391517451493,21,-0.020779198366585705,-0.06218906843111405,-37.190000000000055,1789.96,1752.77
2022-02-23,298.1012337462543,303.6956268728596,291.7076416015625,291.7076416015625,3758,5.817391517451493,21,-0.03183025430940789,-0.09203982887709439,-55.789999999999964,1752.77,1696.98
2022-02-24,286.1132732094405,286.1132732094405,260.53890241976984,266.9324951171875,21745,5.817391517451493,21,-0.08493142774166629,-0.16915418254313042,-144.1300000000001,1696.98,1552.85
2022-02-25,271.727687641379,310.8884426249895,271.727687641379,298.10125732421875,15927,5.817391517451493,21,0.11676645885075798,-0.07213925858772852,181.32000000000016,1552.85,1734.17
2022-02-28,298.9004570855035,300.49885525173613,284.5148735894097,287.711669921875,4864,5.817391517451493,21,-0.03485254472121835,-0.10447756657286256,-60.440000000000055,1734.17,1673.73
2022-03-01,299.6996127493013,299.6996127493013,287.7116282393293,294.9044189453125,2830,5.817391517451493,21,0.024999851501993797,-0.08208963872048003,41.83999999999992,1673.73,1715.57
2022-03-02,287.711669921875,291.7076653374566,280.5188781738281,287.711669921875,4777,5.817391517451493,21,-0.02439010255987839,-0.10447756657286256,-41.83999999999992,1715.57,1673.73
2022-03-03,287.711669921875,291.7076653374566,281.31807725694443,287.711669921875,2367,5.817391517451493,21,0.0,-0.10447756657286256,0.0,1673.73,1673.73
2022-03-04,289.3100515841102,292.50684773421085,282.1172602463837,285.3140563964844,4073,5.817391517451493,21,-0.008333389904002453,-0.11194030417839196,-13.950000000000045,1673.73,1659.78
2022-03-07,285.31406585263534,285.31406585263534,270.12928363638866,283.7156677246094,8655,5.817391517451493,21,-0.005602207939078285,-0.11691539925669925,-9.289999999999964,1659.78,1650.49
2022-03-08,283.71565365924516,287.71164878120635,279.719658537284,286.1132507324219,2916,5.817391517451493,21,0.008450654230839794,-0.10945275663923837,13.940000000000055,1650.49,1664.43
2022-03-09,286.91248573140894,302.0972690988094,286.91248573140894,300.4988708496094,4138,5.817391517451493,21,0.050279461298495365,-0.06467652098219923,83.68999999999983,1664.43,1748.12
2022-03-10,302.09721163754966,304.494808555308,287.71163013099965,289.3100280761719,8762,5.817391517451493,21,-0.037234225678795196,-0.0995025664826239,-65.08999999999992,1748.12,1683.03
2022-03-11,298.90043049473917,301.2980275307932,290.90844037455895,297.3020324707031,2562,5.817391517451493,21,0.027624360094517852,-0.07462690111495074,46.49000000000001,1683.03,1729.52
2022-03-14,301.2979995485336,303.6955963619172,292.5068112327939,302.0971984863281,4383,5.817391517451493,21,0.016128937887760708,-0.05970161588002909,27.90000000000009,1729.52,1757.42
2022-03-15,302.097219688014,307.6916126451994,294.90442874306126,303.69561767578125,2743,5.817391517451493,21,0.005291075844006787,-0.05472642581365328,9.299999999999955,1757.42,1766.72
2022-03-16,307.6916059513682,310.0892028808594,300.4988151628947,310.0892028808594,2758,5.817391517451493,21,0.021052609365946662,-0.03482595051235593,37.190000000000055,1766.72,1803.91
2022-03-17,310.08920962685033,311.6876076146176,300.4988217002467,303.69561767578125,6358,5.817391517451493,21,-0.02061853539458658,-0.05472642581365339,-37.190000000000055,1803.91,1766.72
