date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2019-04-29,78.47982219264462,79.3777606459913,72.82280719626989,73.1819839477539,170437,13.593509581678022,12,,,,0.0,994.8
2019-04-30,72.50852420463444,74.93295509100048,72.28403960957365,74.4839859008789,102379,13.593509581678022,12,0.017791290737000587,0.017791290737000587,17.700000000000045,994.8,1012.5
2019-05-02,74.88806383685336,75.29213337605947,73.67584836850874,74.07991790771484,68152,13.593509581678022,12,-0.005424897557198216,0.012269877250143724,-5.490000000000009,1012.5,1007.01
2019-05-03,74.39419488327911,74.97785621196059,72.77790987776844,74.43909454345703,72286,13.593509581678022,12,0.004848502075685879,0.017177869851145333,4.8799999999999955,1007.01,1011.89
2019-05-06,74.12482091898428,74.12482091898428,70.80244458248936,72.55342864990234,63720,13.593509581678022,12,-0.025331660804308265,-0.008588934925572667,-25.629999999999995,1011.89,986.26
2019-05-07,72.50854159758838,72.50854159758838,69.32085684279028,69.54534149169922,61836,13.593509581678022,12,-0.04146030331272532,-0.049693138391150526,-40.889999999999986,986.26,945.37
2019-05-08,69.41064564784905,70.66775401035407,69.3208463213329,70.03919982910156,57950,13.593509581678022,12,0.007101242539175434,-0.04294477888022341,6.710000000000036,945.37,952.08
2019-05-09,69.85961640833116,69.85961640833116,67.70456268852901,67.88414764404297,42439,13.593509581678022,12,-0.030769229093379202,-0.07239263023387255,-29.300000000000068,952.08,922.78
2019-05-10,68.737193182627,69.4106470406512,67.92904718285259,68.24332427978516,41706,13.593509581678022,12,0.0052910237250907155,-0.06748463763287094,4.889999999999986,922.78,927.67
2019-05-13,68.826979118873,68.826979118873,66.40254134996934,66.8066177368164,44464,13.593509581678022,12,-0.02105270454115804,-0.08711660803687704,-19.529999999999973,927.67,908.14
2019-05-14,66.53723559801765,67.52496649055762,66.53723559801765,66.71682739257812,46454,13.593509581678022,12,-0.00134403367929814,-0.0883435540609474,-1.2200000000000273,908.14,906.92
2019-05-15,67.39028460699159,67.39028460699159,65.99847724453714,66.89641571044922,57399,13.593509581678022,12,0.002691799428865993,-0.08588955776044671,2.4400000000000546,906.92,909.36
2019-05-16,67.21068521874831,67.21068521874831,66.08826226302196,66.5372314453125,46829,13.593509581678022,12,-0.005369260240958074,-0.09079765461380818,-4.889999999999986,909.36,904.47
2019-05-17,66.5372319514221,67.39027751469835,66.17805523271241,67.21068572998047,32254,13.593509581678022,12,0.010121465381701222,-0.08159519455002029,9.159999999999968,904.47,913.63
2019-05-20,67.34538127466575,67.52496621777428,64.74135849523338,65.32501983642578,49857,13.593509581678022,12,-0.028056043069257908,-0.1073619993267384,-25.629999999999995,913.63,888.0
2019-05-21,65.10053503266377,66.40254299302647,65.10053503266377,66.04337310791016,59624,13.593509581678022,12,0.010996602424050428,-0.09754601412473529,9.759999999999991,888.0,897.76
2019-05-22,66.49233412935742,66.49233412935742,64.60665821100461,65.01073455810547,72941,13.593509581678022,12,-0.01563576330538763,-0.11165657104188453,-14.039999999999964,897.76,883.72
2019-05-23,63.75363472715547,64.24750365195248,63.394457950096474,63.79853439331055,72752,13.593509581678022,12,-0.018646153947260435,-0.12822075937627475,-16.470000000000027,883.72,867.25
2019-05-24,64.42708374590643,65.01074510817497,64.06790699599298,64.51687622070312,30734,13.593509581678022,12,0.011259534944236815,-0.11840493055281165,9.759999999999991,867.25,877.01
2019-05-27,65.50460146967599,65.50460146967599,64.2923860381289,64.7862548828125,24710,13.593509581678022,12,0.004175320906546487,-0.11472398822824048,3.659999999999968,877.01,880.67
