date,open,high,low,close,volume,shares_calculated,shares_actual,relative_daily_return,relative_cumulative_return,absolute_daily_return,asset_value_BoP,asset_value_EoP
2022-01-17,20.45674154069939,20.45674154069939,19.7603424928141,19.84739112854004,3852,104.29582339531734,90,,,,0.0,2070.0
2022-01-18,19.934441424612274,20.02149172068451,19.7603424928141,19.84739112854004,3226,104.29582339531734,90,0.0,0.0,0.0,2070.0,2070.0
2022-01-19,19.76034357877554,20.02149282099783,19.76034357877554,19.9344425201416,285,104.29582339531734,90,0.004386036987822806,0.004386036987822806,9.079999999999927,2070.0,2079.08
2022-01-20,19.76034357877554,20.02149282099783,19.76034357877554,19.9344425201416,3086,104.29582339531734,90,0.0,0.004386036987822806,0.0,2079.08,2079.08
2022-01-21,20.02149282099783,20.02149282099783,19.673293277919317,19.9344425201416,1860,104.29582339531734,90,0.0,0.004386036987822806,0.0,2079.08,2079.08
2022-01-24,20.021494462754994,20.021494462754994,19.586244583129883,19.586244583129883,3149,104.29582339531734,90,-0.017467151973771133,-0.013157726560577232,-36.319999999999936,2079.08,2042.76
2022-01-25,19.586244583129883,19.586244583129883,19.32509531949343,19.586244583129883,1628,104.29582339531734,90,0.0,-0.013157726560577232,0.0,2042.76,2042.76
2022-01-26,19.58624347184178,19.58624347184178,19.32509422302246,19.32509422302246,596,104.29582339531734,90,-0.013333355406597858,-0.026315645322600112,-27.230000000000018,2042.76,2015.53
2022-01-27,19.15099235202955,20.02149200439453,19.15099235202955,20.02149200439453,3212,104.29582339531734,90,0.03603593200298261,0.008771977874922676,72.62999999999988,2015.53,2088.16
2022-01-28,20.02149282099783,20.10854312185405,19.9344425201416,19.9344425201416,260,104.29582339531734,90,-0.004347802063593642,0.0043860369878225836,-9.079999999999927,2088.16,2079.08
2022-01-31,20.02149282099783,20.02149282099783,19.9344425201416,19.9344425201416,451,104.29582339531734,90,0.0,0.0043860369878225836,0.0,2079.08,2079.08
2022-02-01,20.108542301700293,20.108542301700293,20.02149200439453,20.02149200439453,3249,104.29582339531734,90,0.004366787993442811,0.008771977874922676,9.079999999999927,2079.08,2088.16
2022-02-02,20.02149200439453,20.02149200439453,19.93444170708877,20.02149200439453,4699,104.29582339531734,90,0.0,0.008771977874922676,0.0,2088.16,2088.16
2022-02-03,20.02149200439453,20.02149200439453,20.02149200439453,20.02149200439453,2,104.29582339531734,90,0.0,0.008771977874922676,0.0,2088.16,2088.16
2022-02-04,19.934443320084675,20.021493624434115,19.673294067382812,19.673294067382812,361,104.29582339531734,90,-0.017391208254374457,-0.008771785673477361,-36.31999999999971,2088.16,2051.84
2022-02-07,19.84739112854004,20.02149172068451,19.84739112854004,19.84739112854004,3089,104.29582339531734,90,0.008849410808425384,0.0,18.159999999999854,2051.84,2070.0
2022-02-08,20.02149172068451,20.02149172068451,19.673292196741865,19.84739112854004,985,104.29582339531734,90,0.0,0.0,0.0,2070.0,2070.0
2022-02-09,20.02149282099783,20.02149282099783,19.76034357877554,19.9344425201416,1148,104.29582339531734,90,0.004386036987822806,0.004386036987822806,9.079999999999927,2070.0,2079.08
2022-02-10,20.02149282099783,20.02149282099783,19.76034357877554,19.9344425201416,1472,104.29582339531734,90,0.0,0.004386036987822806,0.0,2079.08,2079.08
2022-02-11,19.76034197384956,20.10854148864746,19.76034197384956,20.10854148864746,7101,104.29582339531734,90,0.008733575986885622,0.013157918762022769,18.159999999999854,2079.08,2097.24
2022-02-14,19.673293277919317,19.9344425201416,19.58624297706309,19.9344425201416,2060,104.29582339531734,90,-0.008657961026370287,0.004386036987822806,-18.159999999999854,2097.24,2079.08
2022-02-15,19.9344425201416,20.02149282099783,19.9344425201416,19.9344425201416,1000,104.29582339531734,90,0.0,0.004386036987822806,0.0,2079.08,2079.08
2022-02-16,20.02149282099783,20.10854312185405,19.84739221928538,19.9344425201416,2195,104.29582339531734,90,0.0,0.004386036987822806,0.0,2079.08,2079.08
2022-02-17,19.9344425201416,19.9344425201416,19.9344425201416,19.9344425201416,186,104.29582339531734,90,0.0,0.004386036987822806,0.0,2079.08,2079.08
2022-02-18,19.760343551635742,20.021492793499352,19.673293250899075,19.760343551635742,3804,104.29582339531734,90,-0.008733575986885622,-0.004385844786377269,-18.159999999999854,2079.08,2060.92
2022-02-21,19.84739112854004,19.84739112854004,19.84739112854004,19.84739112854004,0,104.29582339531734,90,0.004405165157014279,0.0,9.079999999999927,2060.92,2070.0
2022-02-22,19.760345199118536,20.021494462754994,19.499194275135558,19.586244583129883,5150,104.29582339531734,90,-0.013157726560577232,-0.013157726560577232,-27.24000000000001,2070.0,2042.76
2022-02-23,19.7603424928141,20.108542016756747,19.673292196741865,19.84739112854004,4166,104.29582339531734,90,0.013333160642499564,0.0,27.24000000000001,2042.76,2070.0
2022-02-24,19.238045011499104,19.934444154760666,19.150994703504775,19.586244583129883,6000,104.29582339531734,90,-0.013157726560577232,-0.013157726560577232,-27.24000000000001,2070.0,2042.76
2022-02-25,19.673292196741865,20.02149172068451,19.673292196741865,19.84739112854004,4129,104.29582339531734,90,0.013333160642499564,0.0,27.24000000000001,2042.76,2070.0
