date,relative_daily_return,relative_cumulative_return,absolute_daily_return,portfolio_value_BoP,portfolio_value_EoP
2020-01-22,-0.011375528962096737,-0.12637716123844,-10.0,879.08,869.08
2020-01-23,-0.0028766051456712845,-0.12889022919179738,-2.5,869.08,866.58
2020-01-24,0.0339033903390339,-0.09935665460394039,29.379999999999995,866.58,895.96
2020-01-27,-0.04117371311219249,-0.1364394853236831,-36.889999999999986,895.96,859.07
2020-01-28,0.0,-0.1364394853236831,0.0,859.07,859.07
2020-01-29,0.01892744479495267,-0.12009449135504635,16.25999999999999,859.07,875.33
2020-01-30,-0.00571213142471982,-0.12512062726176132,-5.0,875.33,870.33
2020-01-31,-0.015086231659255678,-0.13831926015279472,-13.129999999999995,870.33,857.2
2020-02-03,0.026259916005599616,-0.1156915963007642,22.50999999999999,857.2,879.71
2020-02-04,0.022734764865694375,-0.09558705267390455,20.0,879.71,899.71
2020-02-05,0.020162052216825405,-0.0773522316043429,18.139999999999986,899.71,917.85
2020-02-06,-0.0272484610775181,-0.10249296340973091,-25.00999999999999,917.85,892.84
2020-02-07,-0.018917163209533606,-0.11947125050261387,-16.889999999999986,892.84,875.95
2020-02-10,0.008573548718534153,-0.11192199437072814,7.509999999999991,875.95,883.46
2020-02-11,0.01980848029339189,-0.09433051869722586,17.5,883.46,900.96
2020-02-12,0.004861481086840698,-0.08992762364294371,4.3799999999999955,900.96,905.34
2020-02-13,-0.014502838712527884,-0.10312625653397711,-13.129999999999995,905.34,892.21
2020-02-14,-0.0021071272458277708,-0.10501608363490189,-1.8799999999999955,892.21,890.33
2020-02-17,0.008435074635247595,-0.09746682750301616,7.509999999999991,890.33,897.84
2020-02-18,-0.026463512429831585,-0.12135102533172537,-23.75999999999999,897.84,874.08
2020-02-19,0.005720300201354567,-0.1163248894250104,5.0,874.08,879.08
2020-02-20,-0.004265823360786276,-0.12009449135504657,-3.75,879.08,875.33
2020-02-21,-0.09142837558406554,-0.20054282267792567,-80.03000000000009,875.33,795.3
2020-02-24,-0.048748899786244165,-0.23951548049859317,-38.76999999999998,795.3,756.53
2020-02-25,-0.01982736970113545,-0.25459388821873785,-15.0,756.53,741.53
2020-02-26,0.018542742707645006,-0.24077201447527186,13.75,741.53,755.28
2020-02-27,-0.0355894502700985,-0.26779252110977125,-26.879999999999995,755.28,728.4
2020-02-28,-0.02832235035694673,-0.288530357860877,-20.629999999999995,728.4,707.77
2020-03-02,-0.002656230131257323,-0.2904201849618019,-1.8799999999999955,707.77,705.89
2020-03-03,0.014166513196107042,-0.28036791314837206,10.0,705.89,715.89
2020-03-04,-0.007850368073307358,-0.2860172899075196,-5.6200000000000045,715.89,710.27
2020-03-05,-0.02729947766342375,-0.30550864495376007,-19.389999999999986,710.27,690.88
2020-03-06,-0.017180986567855494,-0.3174406915963013,-11.870000000000005,690.88,679.01
2020-03-09,-0.06262057996200347,-0.36018295134700484,-42.51999999999998,679.01,636.49
2020-03-10,0.0,-0.36018295134700484,0.0,636.49,636.49
2020-03-11,-0.0019638957407029176,-0.36143948532368353,-1.25,636.49,635.24
2020-03-12,-0.08858069391096275,-0.4180036188178532,-56.26999999999998,635.24,578.97
2020-03-13,0.023749071627200028,-0.4041817450743872,13.75,578.97,592.72
2020-03-16,-0.021089215818599,-0.4167470848411745,-12.5,592.72,580.22
2020-03-17,0.04698217917341696,-0.3893445918777648,27.25999999999999,580.22,607.48
